country,customer_ID,invoice_number,invoice_date,due_date,invoice_amount_usd,disputed,dispute_lost,settled_date,days_to_settle,days_late
China,9174-IYKOC,217272343,2021-09-22,2021-10-22,4988,1,0,2021-10-23,31,1
China,3569-VJWXS,218034886,2021-02-01,2021-03-03,3864,0,0,2021-03-05,32,2
United States,7050-KQLDO,222477564,2020-03-08,2020-04-07,6570,1,0,2020-04-09,32,2
Russia,5924-UOPGH,232048622,2020-03-14,2020-04-13,6760,0,0,2020-04-11,28,0
China,9174-IYKOC,237437528,2020-12-09,2021-01-08,3569,1,0,2021-01-15,37,7
China,1080-NDGAE,246081324,2020-09-06,2020-10-06,9253,1,0,2020-10-13,37,7
Spain,9286-VLKMI,254550541,2020-12-28,2021-01-27,6159,0,0,2021-01-08,11,0
France,4640-FGEJI,261246477,2021-10-20,2021-11-19,9447,0,0,2021-11-05,16,0
China,9174-IYKOC,263678657,2020-09-10,2020-10-10,3800,0,0,2020-10-11,31,1
China,8156-PCYBM,270702396,2020-10-31,2020-11-30,5024,0,0,2020-11-25,25,0
Russia,5924-UOPGH,273425635,2020-02-07,2020-03-08,11376,1,0,2020-03-19,41,11
France,4092-ZAVRG,274057720,2020-05-07,2020-06-06,5096,0,0,2020-05-13,6,0
United States,9928-IJYBQ,277331044,2020-11-02,2020-12-02,7325,0,0,2020-11-26,24,0
United States,3993-QUNVJ,280670965,2020-01-03,2020-02-02,5039,0,0,2020-01-23,20,0
China,0379-NEVHP,281287578,2020-10-28,2020-11-27,7681,0,0,2020-11-19,22,0
Spain,6177-VTITE,282342168,2020-02-06,2020-03-07,6328,0,0,2020-02-20,14,0
France,9725-EZTEJ,6864971541,2020-02-02,2020-03-03,7382,1,0,2020-02-28,26,0
Spain,1408-OQZUE,285510254,2020-04-05,2020-05-05,2705,0,0,2020-05-28,53,23
Spain,8690-EEBEO,286008070,2021-02-26,2021-03-28,5345,0,0,2021-03-31,33,3
France,8389-TCXFQ,287254498,2020-01-22,2020-02-21,7249,0,0,2020-02-21,30,0
France,4640-FGEJI,6546750144,2020-02-06,2020-03-07,5460,1,0,2020-03-17,40,10
France,6048-QPZCF,882058462,2020-02-08,2020-03-09,8644,1,0,2020-03-01,22,0
United States,7758-WKLVM,298536056,2021-03-12,2021-04-11,7085,1,0,2021-05-06,55,25
Spain,6177-VTITE,299012002,2021-11-29,2021-12-29,4197,0,0,2021-12-13,14,0
United States,7856-ODQFO,300108731,2021-11-30,2021-12-30,4971,1,0,2022-01-06,37,7
China,5196-TWQXF,302496633,2020-07-04,2020-08-03,7265,0,0,2020-07-26,22,0
France,6048-QPZCF,308536412,2020-11-25,2020-12-25,7373,0,0,2020-12-01,6,0
France,7600-OISKG,700683520,2020-02-11,2020-03-12,6567,1,0,2020-03-12,30,0
France,5284-DJOZO,320318018,2021-03-23,2021-04-22,8071,0,0,2021-03-24,1,0
France,4632-QZOKX,7043574740,2020-02-14,2020-03-15,8342,1,0,2020-03-20,35,5
Russia,3568-JJMFW,326671411,2020-12-27,2021-01-26,8850,1,0,2021-01-18,22,0
China,7841-HROAQ,329307404,2020-08-02,2020-09-01,6853,1,0,2020-09-09,38,8
Russia,5613-UHVMG,333420180,2021-11-10,2021-12-10,6060,1,0,2021-12-12,32,2
Russia,3271-HYHDN,354407690,2021-04-12,2021-05-12,4556,0,0,2021-04-17,5,0
United States,2447-JCFGW,355095997,2020-12-12,2021-01-11,3138,0,0,2021-01-05,24,0
China,3598-DNURW,360452276,2020-01-30,2020-02-29,5637,0,0,2020-02-20,21,0
Russia,3271-HYHDN,367399005,2021-08-10,2021-09-09,5878,0,0,2021-08-10,0,0
France,4632-QZOKX,1294595544,2020-02-18,2020-03-19,7218,1,1,2020-04-04,46,16
United States,7050-KQLDO,371943035,2021-10-24,2021-11-23,7669,0,0,2021-11-15,22,0
China,5196-TWQXF,374328279,2021-07-08,2021-08-07,6000,0,0,2021-08-02,25,0
United States,7856-ODQFO,374625254,2021-04-03,2021-05-03,3782,0,0,2021-04-25,22,0
Spain,9250-VHLWY,374628242,2021-05-09,2021-06-08,2993,0,0,2021-05-28,19,0
China,2125-HJDLA,380292674,2021-03-02,2021-04-01,2683,0,0,2021-04-10,39,9
Spain,8942-ERSWK,381841466,2021-11-12,2021-12-12,3295,0,0,2021-11-15,3,0
China,2820-XGXSB,385813290,2020-05-07,2020-06-06,7390,0,0,2020-05-08,1,0
United States,6077-FDQRK,387380707,2020-08-20,2020-09-19,6295,0,0,2020-09-15,26,0
Russia,3568-JJMFW,391669562,2020-08-08,2020-09-07,7198,1,0,2020-09-04,27,0
France,7245-CKNCN,401983784,2021-08-17,2021-09-16,5160,0,0,2021-09-04,18,0
Spain,8942-ERSWK,420999665,2021-04-21,2021-05-21,3412,1,0,2021-05-10,19,0
China,3598-DNURW,423629217,2020-08-09,2020-09-08,5734,0,0,2020-09-03,25,0
France,5284-DJOZO,428154463,2020-05-03,2020-06-02,3951,0,0,2020-05-21,18,0
China,6708-DPYTF,428957919,2020-02-13,2020-03-14,8674,0,0,2020-03-30,46,16
France,4651-PMEXQ,449356610,2021-01-04,2021-02-03,7746,0,0,2021-01-24,20,0
China,5529-TBPGK,451448142,2020-11-20,2020-12-20,5581,0,0,2020-12-15,25,0
France,7245-CKNCN,472551457,2021-07-20,2021-08-19,6628,0,0,2021-08-04,15,0
China,0379-NEVHP,476918544,2021-02-14,2021-03-16,5521,0,0,2021-03-03,17,0
China,9014-WENVB,479534953,2021-04-13,2021-05-13,6583,0,0,2021-06-02,50,20
United States,4460-ZXNDN,485064626,2020-10-06,2020-11-05,8031,0,0,2020-11-13,38,8
United States,7856-ODQFO,488925270,2021-05-18,2021-06-17,4054,0,0,2021-06-07,20,0
United States,0706-NRGUP,489697015,2020-04-16,2020-05-16,4144,0,0,2020-05-22,36,6
United States,6831-FIODB,490252754,2021-05-08,2021-06-07,3629,0,0,2021-06-14,37,7
United States,2687-XWAMA,493580936,2020-06-17,2020-07-17,6022,1,0,2020-07-24,37,7
China,9212-BTDMX,496849530,2021-06-02,2021-07-02,5971,0,0,2021-06-16,14,0
Spain,6296-UKEUZ,497305913,2020-11-07,2020-12-07,5474,1,0,2020-11-29,22,0
France,3448-OWJOT,5902046936,2020-02-19,2020-03-20,7494,1,1,2020-03-28,38,8
Spain,1408-OQZUE,500975230,2021-04-18,2021-05-18,3781,0,0,2021-05-23,35,5
Spain,6177-VTITE,511851896,2020-12-26,2021-01-25,827,0,0,2021-01-06,11,0
China,8156-PCYBM,512194602,2020-03-28,2020-04-27,6440,0,0,2020-04-28,31,1
United States,0465-DTULQ,514496777,2020-09-14,2020-10-14,3286,0,0,2020-10-17,33,3
United States,7228-LEPPM,519700354,2020-03-09,2020-04-08,3217,0,0,2020-04-18,40,10
Spain,9883-SDWFS,523612895,2020-04-17,2020-05-17,2877,0,0,2020-05-24,37,7
China,6632-CGYHU,524611481,2020-10-05,2020-11-04,5786,0,0,2020-10-23,18,0
France,5573-KSOIA,524798729,2021-10-19,2021-11-18,5778,0,0,2021-11-16,28,0
France,5164-VMYWJ,528993923,2021-02-22,2021-03-24,9022,0,0,2021-03-14,20,0
China,6160-HCSFI,533597326,2020-08-20,2020-09-19,6549,0,0,2020-09-12,23,0
China,5529-TBPGK,535335924,2020-07-10,2020-08-09,5788,0,0,2020-08-21,42,12
China,2676-DZINU,535641538,2020-04-26,2020-05-26,6501,0,0,2020-05-18,22,0
France,2621-XCLEH,537837854,2020-02-21,2020-03-22,7951,0,0,2020-04-07,46,16
France,8389-TCXFQ,540061441,2021-01-30,2021-03-01,8550,0,0,2021-02-13,14,0
Spain,6177-VTITE,540659475,2021-02-05,2021-03-07,3933,1,0,2021-03-06,29,0
United States,7050-KQLDO,552732928,2021-06-16,2021-07-16,6226,0,0,2021-07-03,17,0
France,5284-DJOZO,6321822878,2020-02-20,2020-03-21,5919,1,0,2020-03-20,29,0
United States,4460-ZXNDN,557941160,2021-09-01,2021-10-01,7377,1,0,2021-10-16,45,15
Russia,8887-NCUZC,561711596,2021-04-16,2021-05-16,3738,1,1,2021-05-21,35,5
Russia,5875-VZQCZ,565497922,2020-10-30,2020-11-29,6080,0,0,2020-11-24,25,0
United States,4460-ZXNDN,572625167,2021-05-24,2021-06-23,10298,0,0,2021-06-25,32,2
France,4640-FGEJI,572998733,2020-04-19,2020-05-19,7002,0,0,2020-05-21,32,2
Spain,0688-XNJRO,578091983,2020-12-13,2021-01-12,3609,0,0,2021-01-30,48,18
Spain,9883-SDWFS,586870094,2020-03-29,2020-04-28,1494,1,1,2020-05-13,45,15
China,5529-TBPGK,588467684,2021-03-12,2021-04-11,4663,0,0,2021-04-11,30,0
China,0709-LZRJV,598324396,2020-07-07,2020-08-06,1092,0,0,2020-08-16,40,10
Russia,8887-NCUZC,601440262,2020-05-30,2020-06-29,4276,1,0,2020-07-09,40,10
China,9841-XLGBV,601606458,2020-10-25,2020-11-24,5097,0,0,2020-11-16,22,0
China,9212-BTDMX,604769805,2021-02-21,2021-03-23,7359,0,0,2021-03-01,8,0
United States,9928-IJYBQ,606876865,2021-03-09,2021-04-08,4661,0,0,2021-04-16,38,8
France,4092-ZAVRG,607578995,2020-09-28,2020-10-28,6014,0,0,2020-10-04,6,0
China,2820-XGXSB,608187073,2021-05-25,2021-06-24,5609,0,0,2021-05-28,3,0
China,0709-LZRJV,608905626,2020-09-27,2020-10-27,6107,0,0,2020-10-23,26,0
France,4640-FGEJI,613092852,2021-03-07,2021-04-06,9034,0,0,2021-04-08,32,2
Russia,3568-JJMFW,617172736,2021-04-03,2021-05-03,7779,1,0,2021-05-03,30,0
Russia,6627-ELFBK,620329407,2021-02-15,2021-03-17,7650,1,0,2021-04-01,45,15
France,7938-EVASK,624274413,2021-08-14,2021-09-13,4409,0,0,2021-09-24,41,11
United States,2447-JCFGW,627613977,2020-04-06,2020-05-06,3567,0,0,2020-05-03,27,0
Spain,7654-DOLHO,631345640,2021-09-19,2021-10-19,2362,0,0,2021-10-13,24,0
United States,9149-MATVB,633253847,2021-04-01,2021-05-01,5095,0,0,2021-04-25,24,0
United States,9149-MATVB,640587193,2020-12-24,2021-01-23,6418,0,0,2021-01-18,25,0
France,4651-PMEXQ,641122100,2020-11-03,2020-12-03,4901,0,0,2020-11-28,25,0
China,1080-NDGAE,641300165,2021-09-12,2021-10-12,9457,1,0,2021-10-14,32,2
Russia,8887-NCUZC,641436694,2021-02-11,2021-03-13,2637,0,0,2021-03-04,21,0
China,7841-HROAQ,642684114,2020-06-20,2020-07-20,6336,0,0,2020-07-08,18,0
China,2125-HJDLA,645045061,2020-10-26,2020-11-25,4318,0,0,2020-11-24,29,0
China,6160-HCSFI,647569317,2021-10-20,2021-11-19,9257,0,0,2021-11-01,12,0
Russia,8887-NCUZC,649688883,2021-11-03,2021-12-03,5214,0,0,2021-11-28,25,0
China,5920-DPXLN,649771974,2021-04-26,2021-05-26,6835,0,0,2021-05-07,11,0
Russia,8364-UWVLM,658936368,2021-05-17,2021-06-16,6982,0,0,2021-06-03,17,0
France,4632-QZOKX,8664445095,2020-02-21,2020-03-22,7619,1,0,2020-04-03,42,12
Russia,8102-ABPKQ,666874152,2020-08-18,2020-09-17,5738,1,0,2020-09-29,42,12
China,2125-HJDLA,672948510,2020-11-09,2020-12-09,5737,0,0,2020-12-05,26,0
Russia,5924-UOPGH,674518601,2020-07-28,2020-08-27,9442,0,0,2020-08-18,21,0
Russia,1604-LIFKX,676551273,2020-10-13,2020-11-12,8274,0,0,2020-12-01,49,19
United States,7260-ZHAKS,678458928,2020-08-21,2020-09-20,6774,0,0,2020-09-07,17,0
United States,2026-XLBER,679404840,2021-10-07,2021-11-06,4973,0,0,2021-10-17,10,0
Russia,9181-HEKGV,681101344,2020-08-27,2020-09-26,8506,0,0,2020-09-22,26,0
France,5284-DJOZO,1839518389,2020-02-24,2020-03-25,4476,1,0,2020-03-26,31,1
United States,9928-IJYBQ,684720070,2020-04-03,2020-05-03,6625,1,0,2020-05-15,42,12
France,6048-QPZCF,6114978639,2020-02-24,2020-03-25,7276,1,0,2020-03-19,24,0
Russia,9181-HEKGV,689403769,2021-09-29,2021-10-29,7609,1,0,2021-11-11,43,13
France,4632-QZOKX,3840426166,2020-02-27,2020-03-28,7089,1,0,2020-04-13,46,16
China,8820-BLYDZ,703104577,2021-03-31,2021-04-30,7349,0,0,2021-04-02,2,0
France,5284-DJOZO,704405155,2020-04-28,2020-05-28,6734,0,0,2020-05-15,17,0
France,1447-YZKCL,705084741,2021-05-02,2021-06-01,5639,0,0,2021-05-28,26,0
France,6048-QPZCF,6198121107,2020-03-04,2020-04-03,6249,1,0,2020-04-04,31,1
Spain,3271-YDPUJ,725765758,2020-04-08,2020-05-08,7671,1,0,2020-05-25,47,17
United States,6831-FIODB,726197794,2021-04-11,2021-05-11,4194,1,0,2021-05-22,41,11
Russia,8102-ABPKQ,728378151,2021-06-25,2021-07-25,8068,1,0,2021-08-08,44,14
Russia,6004-KITZM,733170200,2020-12-09,2021-01-08,7171,0,0,2020-12-29,20,0
Spain,1408-OQZUE,739678368,2021-07-04,2021-08-03,4236,0,0,2021-08-06,33,3
Spain,8690-EEBEO,744801013,2021-03-01,2021-03-31,6104,0,0,2021-04-07,37,7
China,9212-BTDMX,744808791,2020-12-13,2021-01-12,5391,0,0,2020-12-28,15,0
United States,0625-TNJFG,748230672,2021-05-11,2021-06-10,5301,0,0,2021-06-05,25,0
United States,6831-FIODB,750411142,2020-11-27,2020-12-27,5971,0,0,2020-12-29,32,2
France,5284-DJOZO,750477087,2020-10-24,2020-11-23,9488,0,0,2020-10-26,2,0
United States,5592-UQXSS,755429128,2021-10-06,2021-11-05,4312,1,0,2021-11-10,35,5
Spain,0688-XNJRO,760825845,2021-08-10,2021-09-09,4058,0,0,2021-09-18,39,9
United States,0625-TNJFG,761602627,2021-09-07,2021-10-07,6416,1,0,2021-10-18,41,11
China,9174-IYKOC,762698565,2020-05-12,2020-06-11,7470,0,0,2020-06-04,23,0
Russia,5613-UHVMG,764361492,2020-11-17,2020-12-17,6380,1,1,2021-01-05,49,19
France,9117-LYRCE,3961518373,2020-03-05,2020-04-04,6866,1,0,2020-04-22,48,18
Russia,8364-UWVLM,773493683,2021-09-15,2021-10-15,6536,1,0,2021-10-21,36,6
France,5164-VMYWJ,775479959,2021-09-01,2021-10-01,6590,0,0,2021-10-03,32,2
France,6048-QPZCF,7496830993,2020-03-10,2020-04-09,7533,1,0,2020-04-08,29,0
United States,6077-FDQRK,784468555,2021-09-25,2021-10-25,1890,1,0,2021-10-25,30,0
France,9758-AIEIK,3969347325,2020-03-11,2020-04-10,6119,1,0,2020-04-21,41,11
France,9758-AIEIK,816501620,2020-08-20,2020-09-19,3382,0,0,2020-09-07,18,0
China,9212-BTDMX,818753502,2021-01-15,2021-02-14,4818,0,0,2021-02-04,20,0
France,3448-OWJOT,1070459520,2020-03-14,2020-04-13,8610,1,0,2020-04-28,45,15
China,7209-MDWKR,826558350,2021-06-24,2021-07-24,4968,0,0,2021-07-30,36,6
China,5196-TWQXF,828222998,2020-04-13,2020-05-13,7760,0,0,2020-05-18,35,5
Spain,8942-ERSWK,839049806,2021-09-18,2021-10-18,1982,0,0,2021-09-22,4,0
China,6708-DPYTF,839756390,2021-11-25,2021-12-25,7618,0,0,2021-12-31,36,6
France,9725-EZTEJ,9002067860,2020-03-20,2020-04-19,8209,1,0,2020-04-26,37,7
China,1080-NDGAE,857712918,2021-02-22,2021-03-24,9339,1,1,2021-04-04,41,11
France,0783-PEPYR,858258272,2021-09-30,2021-10-30,4367,0,0,2021-11-10,41,11
China,5196-TWQXF,863594173,2020-02-25,2020-03-26,6560,0,0,2020-04-01,36,6
China,0379-NEVHP,869802822,2020-09-01,2020-10-01,6955,0,0,2020-09-23,22,0
France,6048-QPZCF,870792057,2020-03-19,2020-04-18,7392,0,0,2020-03-24,5,0
Russia,5875-VZQCZ,872319562,2021-09-18,2021-10-18,4617,0,0,2021-10-02,14,0
China,5920-DPXLN,873433318,2020-05-05,2020-06-04,8220,0,0,2020-05-24,19,0
Spain,9883-SDWFS,874115043,2020-05-08,2020-06-07,4125,1,0,2020-06-20,43,13
United States,9149-MATVB,874394980,2021-03-14,2021-04-13,2392,0,0,2021-04-16,33,3
Russia,6627-ELFBK,876573329,2021-03-27,2021-04-26,7139,1,0,2021-05-04,38,8
China,5529-TBPGK,881665013,2020-12-25,2021-01-24,3797,1,0,2021-02-11,48,18
France,5284-DJOZO,4908628098,2020-03-24,2020-04-23,8967,1,0,2020-04-19,26,0
France,7245-CKNCN,883694015,2021-09-14,2021-10-14,9277,0,0,2021-09-26,12,0
United States,3831-FXWYK,884183285,2021-09-27,2021-10-27,5305,0,0,2021-10-23,26,0
Russia,8364-UWVLM,886237244,2020-06-30,2020-07-30,7484,1,0,2020-08-05,36,6
France,9725-EZTEJ,2368072192,2020-03-29,2020-04-28,9271,1,0,2020-04-22,24,0
Spain,6391-GBFQJ,893037091,2020-02-09,2020-03-10,643,0,0,2020-02-25,16,0
France,3448-OWJOT,8164224319,2020-04-01,2020-05-01,7278,1,0,2020-05-11,40,10
United States,6831-FIODB,893954880,2021-05-22,2021-06-21,5192,0,0,2021-06-16,25,0
United States,0465-DTULQ,902573987,2021-03-01,2021-03-31,6835,0,0,2021-03-31,30,0
France,6833-ETVHD,903308758,2020-04-23,2020-05-23,7387,0,0,2020-05-16,23,0
United States,2447-JCFGW,905360282,2021-01-24,2021-02-23,7328,0,0,2021-02-13,20,0
China,5529-TBPGK,907309591,2020-05-29,2020-06-28,6478,0,0,2020-06-29,31,1
Russia,5924-UOPGH,910054452,2020-04-13,2020-05-13,8443,0,0,2020-05-01,18,0
China,3569-VJWXS,910348225,2020-08-18,2020-09-17,10296,0,0,2020-09-15,28,0
Russia,9181-HEKGV,910856055,2021-08-21,2021-09-20,7255,1,0,2021-10-09,49,19
France,8976-AMJEO,915133709,2020-11-11,2020-12-11,5980,0,0,2020-12-07,26,0
China,1080-NDGAE,915652542,2020-01-05,2020-02-04,7829,1,0,2020-02-13,39,9
United States,6077-FDQRK,921537795,2020-12-30,2021-01-29,4984,0,0,2021-01-16,17,0
China,7841-HROAQ,929902016,2021-05-18,2021-06-17,6430,0,0,2021-06-14,27,0
France,7938-EVASK,934328892,2020-07-05,2020-08-04,5967,0,0,2020-08-08,34,4
Spain,0688-XNJRO,936925570,2020-12-10,2021-01-09,3098,0,0,2021-01-17,38,8
Russia,7946-HJDUR,938015647,2021-04-22,2021-05-22,4903,0,0,2021-05-15,23,0
France,7245-CKNCN,939622166,2020-09-10,2020-10-10,8536,0,0,2020-09-29,19,0
France,4640-FGEJI,940363147,2020-11-02,2020-12-02,9934,0,0,2020-12-05,33,3
China,0379-NEVHP,951035745,2021-06-05,2021-07-05,5704,0,0,2021-06-19,14,0
France,9725-EZTEJ,3480348952,2020-04-11,2020-05-11,4003,1,1,2020-05-08,27,0
United States,4460-ZXNDN,959092964,2021-01-15,2021-02-14,7205,1,0,2021-03-10,54,24
France,7938-EVASK,975332365,2021-07-17,2021-08-16,7210,0,0,2021-08-14,28,0
United States,0706-NRGUP,979439975,2020-11-24,2020-12-24,3962,0,0,2021-01-10,47,17
Spain,0688-XNJRO,981596189,2020-06-07,2020-07-07,4579,0,0,2020-07-28,51,21
Russia,9181-HEKGV,986187012,2020-01-27,2020-02-26,8692,1,0,2020-03-08,41,11
China,5920-DPXLN,990527729,2020-11-04,2020-12-04,5873,0,0,2020-12-09,35,5
United States,3831-FXWYK,1006151066,2020-11-24,2020-12-24,8366,0,0,2021-01-03,40,10
Spain,9883-SDWFS,1006769217,2020-09-14,2020-10-14,3386,0,0,2020-10-19,35,5
Spain,1408-OQZUE,1012251297,2020-02-21,2020-03-22,2605,1,0,2020-04-21,60,30
China,6160-HCSFI,1014106295,2020-06-14,2020-07-14,6557,0,0,2020-07-02,18,0
France,7245-CKNCN,1020758229,2021-06-06,2021-07-06,6719,0,0,2021-06-20,14,0
Russia,3568-JJMFW,1026638537,2021-07-27,2021-08-26,7086,1,0,2021-08-23,27,0
China,5196-TWQXF,1027852268,2021-09-16,2021-10-16,3722,0,0,2021-10-06,20,0
France,9117-LYRCE,1035721042,2020-11-11,2020-12-11,1113,0,0,2020-12-17,36,6
China,5529-TBPGK,1043332774,2020-07-07,2020-08-06,7909,0,0,2020-08-06,30,0
Spain,1168-BEASA,1047899565,2021-04-14,2021-05-14,5700,0,0,2021-05-04,20,0
United States,7228-LEPPM,1048700348,2021-04-12,2021-05-12,5267,0,0,2021-05-19,37,7
Russia,5148-SYKLB,1054254710,2021-11-21,2021-12-21,7554,1,0,2021-12-23,32,2
France,0783-PEPYR,1056254354,2021-11-06,2021-12-06,7178,1,0,2021-12-06,30,0
Spain,7372-CESLR,1057997164,2020-02-17,2020-03-18,2080,0,0,2020-03-08,20,0
Spain,9250-VHLWY,1061077534,2021-10-03,2021-11-02,5385,0,0,2021-10-22,19,0
China,7841-HROAQ,1064822506,2021-02-10,2021-03-12,9189,0,0,2021-03-07,25,0
United States,9149-MATVB,1066047916,2020-08-15,2020-09-14,4802,0,0,2020-09-19,35,5
United States,9323-NDIOV,1069788528,2020-10-19,2020-11-18,2023,0,0,2020-11-18,30,0
France,9725-EZTEJ,5759152857,2020-04-22,2020-05-22,7232,1,0,2020-06-05,44,14
United States,7260-ZHAKS,1072551347,2020-08-30,2020-09-29,6064,0,0,2020-09-21,22,0
Spain,9883-SDWFS,1078203507,2021-02-03,2021-03-05,4196,1,0,2021-03-17,42,12
China,9212-BTDMX,1087780845,2021-04-08,2021-05-08,6481,0,0,2021-04-25,17,0
China,6632-CGYHU,1089324685,2021-03-29,2021-04-28,8533,0,0,2021-04-07,9,0
